period,NG,OIL,SUN
2021-07-01 00:00:00,20540,-1,177
2021-07-01 01:00:00,19923,0,32
2021-07-01 02:00:00,18983,0,0
2021-07-01 03:00:00,17476,-1,0
2021-07-01 04:00:00,15457,0,0
2021-07-01 05:00:00,13658,0,0
2021-07-01 06:00:00,12960,-1,-1
2021-07-01 07:00:00,12345,-1,-1
2021-07-01 08:00:00,11955,0,-1
2021-07-01 09:00:00,11650,0,0
2021-07-01 10:00:00,11989,0,0
2021-07-01 11:00:00,12502,0,5
2021-07-01 12:00:00,13266,0,142
2021-07-01 13:00:00,14002,0,615
2021-07-01 14:00:00,14862,0,1055
2021-07-01 15:00:00,16239,-1,1459
2021-07-01 16:00:00,17411,-1,1826
2021-07-01 17:00:00,18705,-1,1974
2021-07-01 18:00:00,19171,-1,1982
2021-07-01 19:00:00,19649,-1,1869
2021-07-01 20:00:00,19964,-1,1795
2021-07-01 21:00:00,20514,-1,1413
2021-07-01 22:00:00,20348,-1,1310
2021-07-01 23:00:00,20005,0,928
2021-07-02 00:00:00,19446,0,402
2021-07-02 01:00:00,19338,0,29
2021-07-02 02:00:00,18433,0,-1
2021-07-02 03:00:00,16884,0,0
2021-07-02 04:00:00,15297,-2,0
2021-07-02 05:00:00,13762,-1,0
2021-07-02 06:00:00,13201,-1,-1
2021-07-02 07:00:00,13025,0,0
2021-07-02 08:00:00,12619,-1,-2
2021-07-02 09:00:00,12365,0,-1
2021-07-02 10:00:00,12629,-1,0
2021-07-02 11:00:00,13113,0,0
2021-07-02 12:00:00,13462,0,128
2021-07-02 13:00:00,14146,0,481
2021-07-02 14:00:00,14902,-3,795
2021-07-02 15:00:00,15328,0,1178
2021-07-02 16:00:00,15967,0,1504
2021-07-02 17:00:00,16601,-1,1652
2021-07-02 18:00:00,16909,0,1505
2021-07-02 19:00:00,16816,0,1288
2021-07-02 20:00:00,16667,0,1163
2021-07-02 21:00:00,16637,0,743
2021-07-02 22:00:00,16745,0,330
2021-07-02 23:00:00,16550,0,215
2021-07-03 00:00:00,16882,-1,89
2021-07-03 01:00:00,16437,-1,16
2021-07-03 02:00:00,15807,0,0
2021-07-03 03:00:00,14921,-1,0
2021-07-03 04:00:00,13419,0,-1
2021-07-03 05:00:00,12246,-1,0
2021-07-03 06:00:00,11054,0,0
2021-07-03 07:00:00,10978,-2,0
2021-07-03 08:00:00,10999,-3,0
2021-07-03 09:00:00,10814,0,0
2021-07-03 10:00:00,10555,0,-1
2021-07-03 11:00:00,10828,-1,0
2021-07-03 12:00:00,10674,0,167
2021-07-03 13:00:00,11180,-1,518
2021-07-03 14:00:00,12114,0,939
2021-07-03 15:00:00,13462,0,1406
2021-07-03 16:00:00,14417,0,1916
2021-07-03 17:00:00,15478,0,2136
2021-07-03 18:00:00,15862,-1,2272
2021-07-03 19:00:00,16308,-1,2207
2021-07-03 20:00:00,16550,0,2050
2021-07-03 21:00:00,16701,-1,1871
2021-07-03 22:00:00,16786,0,1492
2021-07-03 23:00:00,16693,-1,1014
2021-07-04 00:00:00,16508,-1,400
2021-07-04 01:00:00,15958,-1,46
2021-07-04 02:00:00,15354,0,0
2021-07-04 03:00:00,14127,-1,0
2021-07-04 04:00:00,12664,0,0
2021-07-04 05:00:00,11306,0,0
2021-07-04 06:00:00,9913,0,0
2021-07-04 07:00:00,9527,0,-1
2021-07-04 08:00:00,9338,0,-1
2021-07-04 09:00:00,8890,-2,-1
2021-07-04 10:00:00,8708,0,0
2021-07-04 11:00:00,8372,-3,4
2021-07-04 12:00:00,8791,-1,238
2021-07-04 13:00:00,9406,-1,827
2021-07-04 14:00:00,10292,0,1581
2021-07-04 15:00:00,11460,-1,2000
2021-07-04 16:00:00,13376,0,2153
2021-07-04 17:00:00,14803,0,2073
2021-07-04 18:00:00,15607,0,2136
2021-07-04 19:00:00,16624,-1,2069
2021-07-04 20:00:00,17184,-1,1959
2021-07-04 21:00:00,17747,-1,1803
2021-07-04 22:00:00,18082,-1,1599
2021-07-04 23:00:00,17977,0,1208
2021-07-05 00:00:00,17791,0,502
2021-07-05 01:00:00,17489,0,59
2021-07-05 02:00:00,16756,-1,0
2021-07-05 03:00:00,15210,0,-3
2021-07-05 04:00:00,13595,-2,0
2021-07-05 05:00:00,12099,0,0
2021-07-05 06:00:00,11062,0,0
2021-07-05 07:00:00,10472,0,0
2021-07-05 08:00:00,9675,-2,0
2021-07-05 09:00:00,9599,0,-1
2021-07-05 10:00:00,9764,0,0
2021-07-05 11:00:00,9951,0,4
2021-07-05 12:00:00,9783,0,252
2021-07-05 13:00:00,10418,-1,841
2021-07-05 14:00:00,11817,-1,1393
2021-07-05 15:00:00,13675,0,1730
2021-07-05 16:00:00,15585,1,1825
2021-07-05 17:00:00,17195,15,1781
2021-07-05 18:00:00,18661,1,1738
2021-07-05 19:00:00,19222,0,1534
2021-07-05 20:00:00,19736,-1,1308
2021-07-05 21:00:00,20239,0,1236
2021-07-05 22:00:00,20362,0,937
2021-07-05 23:00:00,20418,-1,566
2021-07-06 00:00:00,20360,-1,224
2021-07-06 01:00:00,19683,-1,29
2021-07-06 02:00:00,18705,-1,0
2021-07-06 03:00:00,17119,0,0
2021-07-06 04:00:00,14614,0,0
2021-07-06 05:00:00,12923,0,0
2021-07-06 06:00:00,12375,0,-1
2021-07-06 07:00:00,12002,-1,0
2021-07-06 08:00:00,11762,0,0
2021-07-06 09:00:00,11861,-2,-2
2021-07-06 10:00:00,12237,0,0
2021-07-06 11:00:00,12481,0,2
2021-07-06 12:00:00,12943,-1,99
2021-07-06 13:00:00,14452,-1,390
2021-07-06 14:00:00,15976,0,793
2021-07-06 15:00:00,16906,-1,1230
2021-07-06 16:00:00,18471,-1,1522
2021-07-06 17:00:00,19661,0,1748
2021-07-06 18:00:00,20559,8,1897
2021-07-06 19:00:00,20898,11,1953
2021-07-06 20:00:00,20952,-1,1659
2021-07-06 21:00:00,21341,0,1364
2021-07-06 22:00:00,21384,-2,825
2021-07-06 23:00:00,20827,0,335
2021-07-07 00:00:00,20314,0,110
2021-07-07 01:00:00,19779,0,8
2021-07-07 02:00:00,19230,0,0
2021-07-07 03:00:00,17681,-2,0
2021-07-07 04:00:00,15377,0,0
2021-07-07 05:00:00,13019,-1,-1
2021-07-07 06:00:00,12145,-1,0
2021-07-07 07:00:00,12366,0,-1
2021-07-07 08:00:00,12248,-1,0
2021-07-07 09:00:00,12063,-1,-1
2021-07-07 10:00:00,12209,0,0
2021-07-07 11:00:00,12275,0,3
2021-07-07 12:00:00,13026,-1,99
2021-07-07 13:00:00,13686,18,401
2021-07-07 14:00:00,14895,19,675
2021-07-07 15:00:00,16303,0,852
2021-07-07 16:00:00,17460,-1,1067
2021-07-07 17:00:00,18337,-1,1208
2021-07-07 18:00:00,19265,-1,1176
2021-07-07 19:00:00,18737,0,1033
2021-07-07 20:00:00,18366,0,916
2021-07-07 21:00:00,18006,0,1049
2021-07-07 22:00:00,17933,-1,727
2021-07-07 23:00:00,17274,0,286
2021-07-08 00:00:00,16898,0,121
2021-07-08 01:00:00,16522,-2,19
2021-07-08 02:00:00,16203,-1,0
2021-07-08 03:00:00,15207,-2,-1
2021-07-08 04:00:00,13760,0,-1
2021-07-08 05:00:00,12680,0,0
2021-07-08 06:00:00,12257,0,0
2021-07-08 07:00:00,11654,0,0
2021-07-08 08:00:00,11471,0,0
2021-07-08 09:00:00,11493,-1,-2
2021-07-08 10:00:00,11579,0,0
2021-07-08 11:00:00,12113,0,0
2021-07-08 12:00:00,12563,0,137
2021-07-08 13:00:00,13369,0,492
2021-07-08 14:00:00,14292,-2,1055
2021-07-08 15:00:00,15217,0,1488
2021-07-08 16:00:00,16544,-2,1792
2021-07-08 17:00:00,17563,-2,1886
2021-07-08 18:00:00,18469,-1,1995
2021-07-08 19:00:00,18462,0,2071
2021-07-08 20:00:00,18308,-2,2060
2021-07-08 21:00:00,18578,-2,1895
2021-07-08 22:00:00,19293,0,1192
2021-07-08 23:00:00,19208,0,673
2021-07-09 00:00:00,18770,0,410
2021-07-09 01:00:00,18646,-1,43
2021-07-09 02:00:00,18385,0,0
2021-07-09 03:00:00,16987,0,0
2021-07-09 04:00:00,15269,0,0
2021-07-09 05:00:00,13454,0,-1
2021-07-09 06:00:00,12709,-1,0
2021-07-09 07:00:00,12660,0,0
2021-07-09 08:00:00,12474,-3,0
2021-07-09 09:00:00,12112,0,0
2021-07-09 10:00:00,12414,-1,0
2021-07-09 11:00:00,12634,0,3
2021-07-09 12:00:00,12992,-2,205
2021-07-09 13:00:00,13693,0,729
2021-07-09 14:00:00,14898,0,1053
2021-07-09 15:00:00,16347,-1,1371
2021-07-09 16:00:00,18024,0,1625
2021-07-09 17:00:00,19593,0,1762
2021-07-09 18:00:00,20087,0,1850
2021-07-09 19:00:00,19671,20,1872
2021-07-09 20:00:00,18551,19,1748
2021-07-09 21:00:00,18161,-1,1434
2021-07-09 22:00:00,17789,-2,975
2021-07-09 23:00:00,17684,-1,642
2021-07-10 00:00:00,17718,-1,220
2021-07-10 01:00:00,17384,0,23
2021-07-10 02:00:00,16934,0,0
2021-07-10 03:00:00,15715,0,0
2021-07-10 04:00:00,13833,-2,0
2021-07-10 05:00:00,12258,0,0
2021-07-10 06:00:00,11271,0,-1
2021-07-10 07:00:00,10880,-2,-2
2021-07-10 08:00:00,10522,0,0
2021-07-10 09:00:00,10447,0,0
2021-07-10 10:00:00,10345,-2,-1
2021-07-10 11:00:00,10516,0,4
2021-07-10 12:00:00,10680,0,247
2021-07-10 13:00:00,11186,-1,691
2021-07-10 14:00:00,12763,0,1205
2021-07-10 15:00:00,14435,-1,1693
2021-07-10 16:00:00,15771,0,1977
2021-07-10 17:00:00,16771,0,2177
2021-07-10 18:00:00,17878,0,2179
2021-07-10 19:00:00,18322,0,2148
2021-07-10 20:00:00,18594,0,2034
2021-07-10 21:00:00,19159,-1,1809
2021-07-10 22:00:00,19011,0,1598
2021-07-10 23:00:00,18336,0,1086
2021-07-11 00:00:00,17766,-1,429
2021-07-11 01:00:00,17315,-1,32
2021-07-11 02:00:00,16623,0,0
2021-07-11 03:00:00,15894,-2,-1
2021-07-11 04:00:00,14454,-1,0
2021-07-11 05:00:00,12430,0,0
2021-07-11 06:00:00,11114,0,0
2021-07-11 07:00:00,10809,-1,0
2021-07-11 08:00:00,10101,-1,-1
2021-07-11 09:00:00,9931,0,-1
2021-07-11 10:00:00,9818,0,0
2021-07-11 11:00:00,10040,-3,4
2021-07-11 12:00:00,10117,0,251
2021-07-11 13:00:00,10861,0,921
2021-07-11 14:00:00,11541,0,1387
2021-07-11 15:00:00,13145,-1,1508
2021-07-11 16:00:00,15178,0,1658
2021-07-11 17:00:00,16424,0,1728
2021-07-11 18:00:00,17222,-1,1648
2021-07-11 19:00:00,17623,-1,1668
2021-07-11 20:00:00,17835,-2,1525
2021-07-11 21:00:00,17793,0,1392
2021-07-11 22:00:00,17834,0,1102
2021-07-11 23:00:00,17655,-2,716
2021-07-12 00:00:00,17422,-1,419
2021-07-12 01:00:00,16663,0,63
2021-07-12 02:00:00,16149,-1,0
2021-07-12 03:00:00,15317,-1,0
2021-07-12 04:00:00,12921,0,0
2021-07-12 05:00:00,11414,0,-1
2021-07-12 06:00:00,10800,0,0
2021-07-12 07:00:00,9932,0,0
2021-07-12 08:00:00,9739,-1,0
2021-07-12 09:00:00,9742,0,-1
2021-07-12 10:00:00,10304,0,-1
2021-07-12 11:00:00,11556,0,1
2021-07-12 12:00:00,12759,-1,238
2021-07-12 13:00:00,13747,0,825
2021-07-12 14:00:00,14689,1,1403
2021-07-12 15:00:00,15693,0,1725
2021-07-12 16:00:00,16654,-2,1880
2021-07-12 17:00:00,18097,0,1796
2021-07-12 18:00:00,18602,-1,1982
2021-07-12 19:00:00,18954,0,1971
2021-07-12 20:00:00,18482,-1,1721
2021-07-12 21:00:00,18078,-1,1293
2021-07-12 22:00:00,17951,-2,724
2021-07-12 23:00:00,17792,0,265
2021-07-13 00:00:00,17760,-1,88
2021-07-13 01:00:00,17284,0,16
2021-07-13 02:00:00,16473,0,0
2021-07-13 03:00:00,15531,0,0
2021-07-13 04:00:00,13178,-1,-1
2021-07-13 05:00:00,11486,-1,0
2021-07-13 06:00:00,10867,0,0
2021-07-13 07:00:00,10286,0,0
2021-07-13 08:00:00,10011,-1,0
2021-07-13 09:00:00,9897,-1,0
2021-07-13 10:00:00,9881,0,-1
2021-07-13 11:00:00,10615,0,2
2021-07-13 12:00:00,11161,-1,330
2021-07-13 13:00:00,11337,-1,1086
2021-07-13 14:00:00,12506,0,1465
2021-07-13 15:00:00,13933,19,1873
2021-07-13 16:00:00,15592,3,2178
2021-07-13 17:00:00,17163,0,2231
2021-07-13 18:00:00,17964,0,2100
2021-07-13 19:00:00,18272,0,1922
2021-07-13 20:00:00,18432,0,1765
2021-07-13 21:00:00,18503,0,1806
2021-07-13 22:00:00,18401,0,1507
2021-07-13 23:00:00,18175,0,1292
2021-07-14 00:00:00,18081,-1,609
2021-07-14 01:00:00,17734,-1,47
2021-07-14 02:00:00,17342,-3,-1
2021-07-14 03:00:00,15970,-1,0
2021-07-14 04:00:00,14803,-1,0
2021-07-14 05:00:00,12660,0,0
2021-07-14 06:00:00,11671,-1,-1
2021-07-14 07:00:00,11202,-1,0
2021-07-14 08:00:00,10554,0,0
2021-07-14 09:00:00,10422,0,0
2021-07-14 10:00:00,10894,-1,0
2021-07-14 11:00:00,11832,-2,6
2021-07-14 12:00:00,11963,-1,359
2021-07-14 13:00:00,11894,-1,1278
2021-07-14 14:00:00,13705,0,1928
2021-07-14 15:00:00,15686,0,2226
2021-07-14 16:00:00,17186,0,2239
2021-07-14 17:00:00,18568,0,1914
2021-07-14 18:00:00,19508,-2,1902
2021-07-14 19:00:00,19561,0,1982
2021-07-14 20:00:00,19560,0,1961
2021-07-14 21:00:00,19883,0,1602
2021-07-14 22:00:00,20005,0,1329
2021-07-14 23:00:00,20134,-1,835
2021-07-15 00:00:00,19894,-1,442
2021-07-15 01:00:00,19144,-1,53
2021-07-15 02:00:00,18496,0,-2
2021-07-15 03:00:00,16844,0,-1
2021-07-15 04:00:00,15341,0,0
2021-07-15 05:00:00,14067,0,-1
2021-07-15 06:00:00,13016,0,0
2021-07-15 07:00:00,12654,0,0
2021-07-15 08:00:00,11731,-2,-1
2021-07-15 09:00:00,11376,0,0
2021-07-15 10:00:00,11674,0,0
2021-07-15 11:00:00,12250,-2,3
2021-07-15 12:00:00,12830,0,316
2021-07-15 13:00:00,13760,0,1209
2021-07-15 14:00:00,15162,0,1893
2021-07-15 15:00:00,16781,0,2203
2021-07-15 16:00:00,18680,-1,2221
2021-07-15 17:00:00,20082,0,2108
2021-07-15 18:00:00,21429,-1,1983
2021-07-15 19:00:00,21992,0,1845
2021-07-15 20:00:00,22051,-1,1717
2021-07-15 21:00:00,22447,-1,1444
2021-07-15 22:00:00,22689,-1,760
2021-07-15 23:00:00,22351,-2,354
2021-07-16 00:00:00,22014,-1,146
2021-07-16 01:00:00,20595,0,21
2021-07-16 02:00:00,19975,0,0
2021-07-16 03:00:00,18087,-1,0
2021-07-16 04:00:00,15829,0,-1
2021-07-16 05:00:00,14175,-2,0
2021-07-16 06:00:00,14019,0,0
2021-07-16 07:00:00,13578,0,0
2021-07-16 08:00:00,12935,0,0
2021-07-16 09:00:00,12583,-1,-1
2021-07-16 10:00:00,12837,-1,-1
2021-07-16 11:00:00,13456,0,2
2021-07-16 12:00:00,13858,0,279
2021-07-16 13:00:00,14608,-2,1072
2021-07-16 14:00:00,15488,0,1584
2021-07-16 15:00:00,16665,-1,2038
2021-07-16 16:00:00,17722,0,2177
2021-07-16 17:00:00,18844,-1,2231
2021-07-16 18:00:00,19891,-1,2161
2021-07-16 19:00:00,20578,0,2140
2021-07-16 20:00:00,20907,-1,2008
2021-07-16 21:00:00,21300,-1,1776
2021-07-16 22:00:00,21099,0,1562
2021-07-16 23:00:00,20785,0,1222
2021-07-17 00:00:00,20195,0,436
2021-07-17 01:00:00,19132,0,22
2021-07-17 02:00:00,18409,0,0
2021-07-17 03:00:00,17486,-1,-1
2021-07-17 04:00:00,16075,0,0
2021-07-17 05:00:00,14563,0,-2
2021-07-17 06:00:00,13115,0,-1
2021-07-17 07:00:00,12627,-2,0
2021-07-17 08:00:00,12254,0,0
2021-07-17 09:00:00,11673,-1,0
2021-07-17 10:00:00,11806,0,-1
2021-07-17 11:00:00,11794,0,2
2021-07-17 12:00:00,12428,-2,301
2021-07-17 13:00:00,12867,-3,1231
2021-07-17 14:00:00,14061,0,1829
2021-07-17 15:00:00,15457,0,2127
2021-07-17 16:00:00,17055,0,2229
2021-07-17 17:00:00,18519,0,2218
2021-07-17 18:00:00,19223,-1,2150
2021-07-17 19:00:00,19486,0,2187
2021-07-17 20:00:00,19864,0,2160
2021-07-17 21:00:00,20250,0,2026
2021-07-17 22:00:00,20073,0,1746
2021-07-17 23:00:00,19683,0,1022
2021-07-18 00:00:00,19027,0,269
2021-07-18 01:00:00,18119,0,16
2021-07-18 02:00:00,17527,-1,-1
2021-07-18 03:00:00,16118,0,0
2021-07-18 04:00:00,14683,-1,0
2021-07-18 05:00:00,13373,0,0
2021-07-18 06:00:00,11821,-2,0
2021-07-18 07:00:00,11603,0,0
2021-07-18 08:00:00,11049,-1,-1
2021-07-18 09:00:00,10948,-1,0
2021-07-18 10:00:00,10662,0,0
2021-07-18 11:00:00,10351,0,1
2021-07-18 12:00:00,10752,0,130
2021-07-18 13:00:00,11624,0,520
2021-07-18 14:00:00,12615,-1,963
2021-07-18 15:00:00,14153,0,1359
2021-07-18 16:00:00,15775,0,1655
2021-07-18 17:00:00,16234,-1,1837
2021-07-18 18:00:00,16562,0,1903
2021-07-18 19:00:00,17653,-1,2053
2021-07-18 20:00:00,18265,-1,1868
2021-07-18 21:00:00,18298,0,1781
2021-07-18 22:00:00,18695,-1,1256
2021-07-18 23:00:00,18842,-3,681
2021-07-19 00:00:00,18096,0,298
2021-07-19 01:00:00,17359,-2,26
2021-07-19 02:00:00,16987,0,-1
2021-07-19 03:00:00,15970,0,-1
2021-07-19 04:00:00,14185,0,-1
2021-07-19 05:00:00,12604,0,-1
2021-07-19 06:00:00,12113,0,0
2021-07-19 07:00:00,11486,0,0
2021-07-19 08:00:00,11281,0,-1
2021-07-19 09:00:00,11106,0,0
2021-07-19 10:00:00,11226,-1,-1
2021-07-19 11:00:00,12260,0,1
2021-07-19 12:00:00,13222,0,124
2021-07-19 13:00:00,13924,0,524
2021-07-19 14:00:00,14827,-1,1120
2021-07-19 15:00:00,15747,-2,1364
2021-07-19 16:00:00,16237,-1,1702
2021-07-19 17:00:00,16978,-1,1580
2021-07-19 18:00:00,17696,-1,1541
2021-07-19 19:00:00,17939,0,1450
2021-07-19 20:00:00,18317,0,997
2021-07-19 21:00:00,18395,0,770
2021-07-19 22:00:00,18304,0,669
2021-07-19 23:00:00,18023,0,508
2021-07-20 00:00:00,17692,0,177
2021-07-20 01:00:00,17134,0,15
2021-07-20 02:00:00,16583,0,0
2021-07-20 03:00:00,15944,-1,0
2021-07-20 04:00:00,13948,0,0
2021-07-20 05:00:00,12278,-2,0
2021-07-20 06:00:00,11930,0,-2
2021-07-20 07:00:00,11175,-2,0
2021-07-20 08:00:00,10646,0,0
2021-07-20 09:00:00,10450,0,0
2021-07-20 10:00:00,10957,-1,0
2021-07-20 11:00:00,12202,0,0
2021-07-20 12:00:00,13220,0,118
2021-07-20 13:00:00,13394,1,552
2021-07-20 14:00:00,14108,11,872
2021-07-20 15:00:00,14971,73,1021
2021-07-20 16:00:00,15777,16,1347
2021-07-20 17:00:00,16583,0,1682
2021-07-20 18:00:00,17518,0,1556
2021-07-20 19:00:00,17473,-1,1499
2021-07-20 20:00:00,17365,0,1285
2021-07-20 21:00:00,17419,-1,972
2021-07-20 22:00:00,17516,-1,679
2021-07-20 23:00:00,17248,0,535
2021-07-21 00:00:00,16933,-1,216
2021-07-21 01:00:00,16473,0,25
2021-07-21 02:00:00,16238,-1,-1
2021-07-21 03:00:00,15332,0,0
2021-07-21 04:00:00,13676,0,0
2021-07-21 05:00:00,11934,-1,-1
2021-07-21 06:00:00,10904,0,0
2021-07-21 07:00:00,10274,-1,0
2021-07-21 08:00:00,10028,-1,-1
2021-07-21 09:00:00,10038,0,0
2021-07-21 10:00:00,10492,0,0
2021-07-21 11:00:00,11566,0,-1
2021-07-21 12:00:00,12279,-1,114
2021-07-21 13:00:00,13026,-2,449
2021-07-21 14:00:00,14077,0,898
2021-07-21 15:00:00,15333,0,1377
2021-07-21 16:00:00,16544,0,1821
2021-07-21 17:00:00,17630,0,1963
2021-07-21 18:00:00,18884,0,1811
2021-07-21 19:00:00,19673,0,1623
2021-07-21 20:00:00,20134,-1,1486
2021-07-21 21:00:00,20676,0,1478
2021-07-21 22:00:00,21613,0,1240
2021-07-21 23:00:00,21670,0,889
2021-07-22 00:00:00,21122,-1,364
2021-07-22 01:00:00,20160,-1,37
2021-07-22 02:00:00,19480,-3,0
2021-07-22 03:00:00,17762,-2,-1
2021-07-22 04:00:00,15034,0,0
2021-07-22 05:00:00,13240,0,0
2021-07-22 06:00:00,12445,0,-1
2021-07-22 07:00:00,12307,-1,0
2021-07-22 08:00:00,12024,0,0
2021-07-22 09:00:00,11856,0,0
2021-07-22 10:00:00,12099,0,-1
2021-07-22 11:00:00,12337,0,1
2021-07-22 12:00:00,12924,-1,163
2021-07-22 13:00:00,13886,0,728
2021-07-22 14:00:00,15386,0,1139
2021-07-22 15:00:00,17329,0,1737
2021-07-22 16:00:00,18735,-1,2076
2021-07-22 17:00:00,19921,-1,2148
2021-07-22 18:00:00,20657,-1,2147
2021-07-22 19:00:00,21419,-1,2157
2021-07-22 20:00:00,21619,-1,2083
2021-07-22 21:00:00,22283,0,1367
2021-07-22 22:00:00,22486,0,1233
2021-07-22 23:00:00,22403,-1,859
2021-07-23 00:00:00,21848,0,466
2021-07-23 01:00:00,20699,-1,40
2021-07-23 02:00:00,19670,0,-1
2021-07-23 03:00:00,18004,-1,0
2021-07-23 04:00:00,15144,-1,0
2021-07-23 05:00:00,13327,0,0
2021-07-23 06:00:00,12733,0,-2
2021-07-23 07:00:00,12181,0,0
2021-07-23 08:00:00,11556,-1,0
2021-07-23 09:00:00,11218,0,0
2021-07-23 10:00:00,11591,0,0
2021-07-23 11:00:00,12212,-1,1
2021-07-23 12:00:00,12936,0,236
2021-07-23 13:00:00,13643,-1,1024
2021-07-23 14:00:00,15031,0,1708
2021-07-23 15:00:00,16535,-3,2070
2021-07-23 16:00:00,18272,0,2107
2021-07-23 17:00:00,20286,0,2003
2021-07-23 18:00:00,21580,0,1868
2021-07-23 19:00:00,21669,0,1718
2021-07-23 20:00:00,22034,0,1421
2021-07-23 21:00:00,22092,-1,1182
2021-07-23 22:00:00,21363,-2,946
2021-07-23 23:00:00,20578,0,734
2021-07-24 00:00:00,19697,0,306
2021-07-24 01:00:00,18895,0,27
2021-07-24 02:00:00,18030,0,-1
2021-07-24 03:00:00,16305,-1,-1
2021-07-24 04:00:00,14350,0,-1
2021-07-24 05:00:00,13198,0,0
2021-07-24 06:00:00,11746,0,0
2021-07-24 07:00:00,11573,0,0
2021-07-24 08:00:00,10967,-1,-1
2021-07-24 09:00:00,10402,-2,0
2021-07-24 10:00:00,10299,0,0
2021-07-24 11:00:00,10482,0,1
2021-07-24 12:00:00,10795,0,133
2021-07-24 13:00:00,11553,-2,649
2021-07-24 14:00:00,13427,0,1376
2021-07-24 15:00:00,15093,0,1891
2021-07-24 16:00:00,16791,0,2225
2021-07-24 17:00:00,18884,-1,2253
2021-07-24 18:00:00,19919,-1,2208
2021-07-24 19:00:00,20593,-1,2105
2021-07-24 20:00:00,20941,0,2094
2021-07-24 21:00:00,20985,0,2000
2021-07-24 22:00:00,21164,-1,1730
2021-07-24 23:00:00,20709,0,1267
2021-07-25 00:00:00,20101,0,532
2021-07-25 01:00:00,19100,0,33
2021-07-25 02:00:00,18307,0,-1
2021-07-25 03:00:00,16685,-5,0
2021-07-25 04:00:00,14925,-1,-1
2021-07-25 05:00:00,13929,-2,0
2021-07-25 06:00:00,12431,0,0
2021-07-25 07:00:00,11842,0,0
2021-07-25 08:00:00,11454,0,-2
2021-07-25 09:00:00,10911,0,0
2021-07-25 10:00:00,10784,0,-2
2021-07-25 11:00:00,10441,0,1
2021-07-25 12:00:00,10826,0,199
2021-07-25 13:00:00,11478,0,1001
2021-07-25 14:00:00,12768,0,1658
2021-07-25 15:00:00,14592,-1,2076
2021-07-25 16:00:00,16073,0,2309
2021-07-25 17:00:00,18121,0,2367
2021-07-25 18:00:00,19455,-1,2285
2021-07-25 19:00:00,20612,-1,2263
2021-07-25 20:00:00,20982,0,2211
2021-07-25 21:00:00,21269,-1,2025
2021-07-25 22:00:00,21020,-1,1762
2021-07-25 23:00:00,20955,-2,1290
2021-07-26 00:00:00,20533,0,517
2021-07-26 01:00:00,19593,0,31
2021-07-26 02:00:00,19082,0,0
2021-07-26 03:00:00,17422,0,0
2021-07-26 04:00:00,15280,0,0
2021-07-26 05:00:00,13216,0,0
2021-07-26 06:00:00,12665,0,-2
2021-07-26 07:00:00,12613,0,0
2021-07-26 08:00:00,12405,-1,0
2021-07-26 09:00:00,12382,0,0
2021-07-26 10:00:00,12525,0,0
2021-07-26 11:00:00,12807,0,0
2021-07-26 12:00:00,13361,0,179
2021-07-26 13:00:00,14255,-1,803
2021-07-26 14:00:00,15190,-1,1489
2021-07-26 15:00:00,17281,-2,1894
2021-07-26 16:00:00,20437,-1,2010
2021-07-26 17:00:00,22404,-1,2168
2021-07-26 18:00:00,23481,0,2199
2021-07-26 19:00:00,23951,0,2007
2021-07-26 20:00:00,24702,0,1889
2021-07-26 21:00:00,24735,-1,1791
2021-07-26 22:00:00,24233,-1,1500
2021-07-26 23:00:00,24191,0,1069
2021-07-27 00:00:00,23754,0,403
2021-07-27 01:00:00,23387,0,23
2021-07-27 02:00:00,22357,0,-2
2021-07-27 03:00:00,19742,0,0
2021-07-27 04:00:00,17091,-1,0
2021-07-27 05:00:00,14983,-1,0
2021-07-27 06:00:00,13876,0,0
2021-07-27 07:00:00,13564,0,0
2021-07-27 08:00:00,13314,-2,0
2021-07-27 09:00:00,12967,-2,-2
2021-07-27 10:00:00,13107,-1,0
2021-07-27 11:00:00,13622,-2,0
2021-07-27 12:00:00,14097,0,145
2021-07-27 13:00:00,15133,17,812
2021-07-27 14:00:00,16118,21,1394
2021-07-27 15:00:00,18083,0,1772
2021-07-27 16:00:00,20763,-1,1994
2021-07-27 17:00:00,23052,0,1910
2021-07-27 18:00:00,24084,0,1990
2021-07-27 19:00:00,24922,0,1838
2021-07-27 20:00:00,24780,-1,1783
2021-07-27 21:00:00,24126,0,1467
2021-07-27 22:00:00,22972,0,896
2021-07-27 23:00:00,21800,0,394
2021-07-28 00:00:00,20814,0,101
2021-07-28 01:00:00,20047,-1,6
2021-07-28 02:00:00,19384,0,0
2021-07-28 03:00:00,17821,-1,0
2021-07-28 04:00:00,15451,-2,-1
2021-07-28 05:00:00,13037,-1,0
2021-07-28 06:00:00,12588,-1,-1
2021-07-28 07:00:00,11802,0,0
2021-07-28 08:00:00,11072,0,0
2021-07-28 09:00:00,10648,-1,-2
2021-07-28 10:00:00,10840,0,0
2021-07-28 11:00:00,11774,0,-1
2021-07-28 12:00:00,12819,-1,87
2021-07-28 13:00:00,13842,0,510
2021-07-28 14:00:00,15081,0,1197
2021-07-28 15:00:00,17061,-2,1809
2021-07-28 16:00:00,19758,0,2021
2021-07-28 17:00:00,21591,0,2176
2021-07-28 18:00:00,22935,-1,2208
2021-07-28 19:00:00,23539,0,2149
2021-07-28 20:00:00,23786,-1,2048
2021-07-28 21:00:00,24035,0,1819
